LEMMA	cnt
wonder	221
sought	221
empty	220
personal	220
food	219
intelligence	219
fire	219
mile	218
stage	217
road	217
occasion	217
game	217
movement	216
children	216
ball	216
exist	215
further	215
follow	215
instant	215
mine	215
nobody	215
space	215
simple	214
save	213
deal	213
type	212
add	212
feature	211
possibly	210
attempt	210
bear	210
spite	209
capable	209
master	209
c	208
elstir	208
d	208
ten	207
serious	207
city	206
seek	206
extremely	205
town	204
exactly	204
painful	204
difference	204
king	203
someone	203
couple	203
moral	203
circle	203
lord	203
language	202
spend	202
strength	202
address	202
latter	202
apart	201
dream	201
gentleman	200
prevent	200
garden	200
surface	199
friendship	198
forget	198
rich	198
silent	198
marathe	197
doubtless	197
opposite	197
lover	196
thank	196
problem	196
whereas	195
breath	195
purpose	195
easily	194
artist	194
top	194
immediately	193
strong	192
beside	192
neither	190
touch	189
calm	189
blood	188
maybe	188
easy	187
express	187
example	187
length	187
dog	186
orin	186
marriage	186
listen	186
france	186
somebody	185
early	185
class	185
box	185
shut	185
individual	184
discover	183
kid	183
below	183
darkness	183
friendly	182
animal	182
duty	182
middle	181
glad	181
aware	181
station	181
field	181
throw	181
plan	180
difficult	180
scene	180
clean	179
notice	179
private	179
curiosity	179
land	179
opportunity	179
metal	178
born	178
rise	177
l	177
pocket	177
somewhere	176
physical	176
sentiment	176
bore	176
familiar	176
everybody	175
excuse	175
warm	175
gesture	174
mere	174
remark	174
distant	174
shape	174
job	174
system	174
third	173
spring	173
continue	173
material	172
fell	172
enjoy	172
hall	172
barely	172
reach	171
gold	171
greater	171
albeit	171
choose	170
break	170
condition	170
issue	170
hot	169
similar	169
false	169
alive	169
staff	168
advantage	168
interval	167
weather	167
uncle	167
satisfaction	167
till	166
vinteuil	166
direction	166
quickly	165
pair	164
madame	164
surprise	163
history	163
altogether	163
low	163
talent	163
dagny	162
ring	162
smell	162
summer	162
lead	162
race	162
conscious	161
report	161
mention	161
level	161
american	161
youth	160
possibility	160
extent	160
mario	160
presently	160
brain	159
intellectual	159
daily	159
bound	159
cast	159
attitude	159
drink	159
sensation	159
forth	158
toward	158
fair	158
weight	158
pemulis	158
blow	158
terrible	158
bird	158
highly	157
admit	157
hundred	157
beach	157
consider	157
kill	157
writer	157
french	156
worth	156
anxiety	156
final	156
vague	156
crowd	156
lenz	156
incapable	156
deep	156
regret	155
pleasant	155
escape	155
